DE,COMUNA,BARRIO,POINT_X,POINT_Y,Escuela_DE,NEAR_FID,NEAR_DIST
10.00000000000,13.00000000000,BELGRANO,99811.46620000000,107497.64969999999,19_10,"22",1219.42284285000
9.00000000000,13.00000000000,COLEGIALES,101940.36710000000,106288.58779999999,3_9,"8",1530.82175562000
9.00000000000,14.00000000000,PALERMO,103260.24410000000,104073.58259999999,4_9,"8",1443.81080763000
9.00000000000,14.00000000000,PALERMO,102685.38790000000,107185.53610000000,5_9,"8",2524.85205030000
9.00000000000,14.00000000000,PALERMO,102986.32470000000,105843.55390000000,6_9,"8",1473.56318651000
9.00000000000,13.00000000000,COLEGIALES,100800.38800000001,106169.63830000001,7_9,"8",1845.15134197000
9.00000000000,14.00000000000,PALERMO,102735.36480000000,106663.54580000001,8_9,"8",2045.89855877000
9.00000000000,14.00000000000,PALERMO,102243.30740000001,105031.60360000000,9_9,"8",372.96468540200
9.00000000000,14.00000000000,PALERMO,101830.38400000001,106630.58460000000,10_9,"8",1878.76693638000
9.00000000000,14.00000000000,PALERMO,103897.53599999999,104749.11430000000,11_9,"21",1659.61059122000
9.00000000000,13.00000000000,COLEGIALES,101014.37040000000,105866.63630000000,12_9,"8",1475.89360342000
9.00000000000,13.00000000000,COLEGIALES,101605.34140000000,105494.61990000001,13_9,"8",830.17652364900
9.00000000000,14.00000000000,PALERMO,101807.31909999999,105074.62089999999,14_9,"8",364.69633717300
10.00000000000,12.00000000000,SAAVEDRA,97865.56240000000,108736.70340000000,25_10,"9",318.76433820800
11.00000000000,10.00000000000,VELEZ SARSFIELD,98035.15979999999,99242.91170000000,1_11,"17",1710.03593489000
11.00000000000,10.00000000000,VELEZ SARSFIELD,97967.16240000000,99267.91400000000,2_11,"17",1662.00920942000
11.00000000000,10.00000000000,VELEZ SARSFIELD,98303.08980000000,99402.89710000000,3_11,"17",1691.78611262000
11.00000000000,7.00000000000,FLORES,100526.05750000000,98151.83190000000,4_11,"24",1078.82782322000
11.00000000000,7.00000000000,FLORES,99433.10810000000,98767.86380000001,5_11,"24",2223.42185958000
11.00000000000,7.00000000000,FLORES,100563.08160000000,98745.81680000000,6_11,"24",1141.98085826000
11.00000000000,7.00000000000,PARQUE CHACABUCO,101394.75620000000,98973.27980000000,7_11,"24",737.07714839200
12.00000000000,10.00000000000,FLORESTA,98468.17340000000,99799.88090000000,3_12,"17",1489.84051448000
12.00000000000,11.00000000000,VILLA GRAL. MITRE,99655.46649999999,101459.79350000000,4_12,"29",1471.00364778000
12.00000000000,7.00000000000,FLORES,99573.19610000000,100937.80860000000,5_12,"29",1836.99196597000
12.00000000000,11.00000000000,VILLA GRAL. MITRE,99092.21210000000,102406.51940000000,6_12,"29",475.17447980100
12.00000000000,11.00000000000,VILLA SANTA RITA,98281.26660000000,101918.84060000000,7_12,"29",689.23157289300
12.00000000000,11.00000000000,VILLA SANTA RITA,98394.24720000000,101516.84500000000,8_12,"29",1024.23917937000
12.00000000000,10.00000000000,FLORESTA,98645.17170000001,99855.87220000000,9_12,"17",1587.99036589000
12.00000000000,10.00000000000,FLORESTA,97348.24350000000,100864.90380000000,10_12,"17",55.65755765330
12.00000000000,10.00000000000,FLORESTA,97841.22910000000,100788.88480000000,11_12,"17",455.03534755700
12.00000000000,7.00000000000,FLORES,99675.17560000000,100504.81419999999,12_12,"29",2264.88140749000
12.00000000000,11.00000000000,VILLA GRAL. MITRE,99251.93600000000,101155.35470000000,14_12,"29",1494.29533679000
7.00000000000,11.00000000000,VILLA GRAL. MITRE,100032.25719999999,102641.75070000000,18_7,"29",1408.78955573000
7.00000000000,6.00000000000,CABALLITO,100920.12430000000,102332.01930000000,19_7,"29",2298.02654369000
13.00000000000,8.00000000000,VILLA LUGANO,97588.03530000000,96037.00330000000,11_13,"3",790.00706483800
13.00000000000,9.00000000000,MATADEROS,97188.07840000000,96846.00169999999,12_13,"19",1208.04446266000
13.00000000000,9.00000000000,MATADEROS,96877.12540000000,97796.99320000000,13_13,"19",1134.07118246000
13.00000000000,9.00000000000,MATADEROS,97301.06939999999,96694.00040000000,14_13,"3",1283.08266136000
13.00000000000,8.00000000000,VILLA LUGANO,99194.99670000000,95984.93690000000,15_13,"25",603.66455116400
13.00000000000,9.00000000000,PARQUE AVELLANEDA,98321.09699999999,97901.93010000000,16_13,"25",1506.70328306000
13.00000000000,9.00000000000,PARQUE AVELLANEDA,98407.09190000000,97825.92830000000,18_13,"25",1400.88279958000
16.00000000000,11.00000000000,VILLA DEVOTO,95591.40650000000,103795.91099999999,1_16,"23",2058.37582233000
16.00000000000,11.00000000000,VILLA DEVOTO,96215.39780000001,103926.88180000000,2_16,"23",1973.62869073000
1.00000000000,2.00000000000,RECOLETA,105584.16420000000,103427.49970000000,23_1,"21",759.93612356400
1.00000000000,2.00000000000,RECOLETA,105659.20990000000,104555.47090000000,24_1,"21",1445.95604598000
1.00000000000,1.00000000000,RETIRO,107096.44310000000,105638.15310000000,25_1,"10",1356.77681185000
1.00000000000,14.00000000000,PALERMO,104883.48520000000,105126.09560000000,26_1,"21",1753.41923283000
21.00000000000,8.00000000000,VILLA LUGANO,98402.96270000000,94747.99830000001,8_21,"5",977.75162191700
21.00000000000,8.00000000000,VILLA LUGANO,99987.16540000000,93389.31430000000,9_21,"18",433.30598328200
21.00000000000,8.00000000000,VILLA LUGANO,99959.90150000001,94133.94680000001,10_21,"20",280.61135922200
2.00000000000,6.00000000000,CABALLITO,102856.28770000000,102762.75820000000,7_2,"1",1002.26418190000
2.00000000000,14.00000000000,PALERMO,103972.62160000000,104059.55260000000,9_2,"21",1094.99158560000
2.00000000000,2.00000000000,RECOLETA,105403.19700000000,104111.49170000000,10_2,"21",936.72660757400
2.00000000000,5.00000000000,ALMAGRO,103371.19110000000,102871.60520000001,11_2,"1",578.91433260900
2.00000000000,3.00000000000,BALVANERA,105323.14950000000,102935.52180000000,14_2,"21",662.52741343200
2.00000000000,3.00000000000,BALVANERA,105225.13340000001,102500.53580000000,16_2,"21",959.92764886200
2.00000000000,6.00000000000,CABALLITO,102532.20710000000,102799.64210000000,17_2,"1",1326.16107170000
2.00000000000,3.00000000000,BALVANERA,105051.17419999999,103376.52320000000,23_2,"21",225.05206979200
2.00000000000,3.00000000000,BALVANERA,105107.16610000000,103214.52450000000,24_2,"21",322.93144247000
2.00000000000,2.00000000000,RECOLETA,104406.19800000000,103595.54530000000,13_2,"21",474.97939429000
2.00000000000,2.00000000000,RECOLETA,105118.19259999999,103850.50960000000,2_2,"21",559.21667270600
